"Date","Brazil_YoY","Canada_QoQ","Chile_YoY","China_YoY","Colombia_YoY","Czech Republic_YoY","Denmark_QoQ","Euro Area_QoQ","France_QoQ","Germany_QoQ","Hungary_YoY","India_YoY","Indonesia_YoY","Israel_YoY","Italy_QoQ","Japan_QoQ","Malaysia_YoY","Mexico_YoY","Netherlands_QoQ","Peru_YoY","Philippines_YoY","Poland_YoY","Romania_YoY","Russia_YoY","South Africa_YoY","South Korea_YoY","Spain_QoQ","Sweden_QoQ","Switzerland_QoQ","Thailand_YoY","Turkey_YoY","United Kingdom_QoQ","United States_QoQ"
2015-11-23,-4.1859,0.48019,NA,6.7218,NA,NA,NA,0.28232,0.36724,0.15214,NA,NA,NA,NA,0.049648,0.32693,NA,1.9303,NA,NA,NA,NA,NA,NA,1.1156,NA,0.66026,NA,NA,NA,NA,0.559,0.40427
2015-11-24,-4.2878,0.48019,NA,6.7218,NA,NA,NA,0.29923,0.36447,0.16369,NA,NA,NA,NA,0.063388,0.32693,NA,1.9303,NA,NA,NA,NA,NA,NA,0.98398,NA,0.66026,NA,NA,NA,NA,0.5579,0.42274
2015-11-25,-4.2778,0.48019,NA,6.7218,NA,NA,NA,0.26538,0.34961,0.14597,NA,NA,NA,NA,0.016801,0.40069,NA,1.9303,NA,NA,NA,NA,NA,NA,0.98398,NA,0.66026,NA,NA,NA,NA,0.5579,0.43659
2015-11-26,-4.2778,0.48019,NA,6.7218,NA,NA,NA,0.20582,0.34572,0.092016,NA,NA,NA,NA,-0.002063,0.48782,NA,1.9303,NA,NA,NA,NA,NA,NA,0.86872,NA,0.66085,NA,NA,NA,NA,0.5579,0.43659
2015-11-27,-4.2778,0.48019,NA,6.7218,NA,NA,NA,0.19516,0.33352,0.0815,NA,NA,NA,NA,-0.0037603,0.48782,NA,2.2145,NA,NA,NA,NA,NA,NA,0.86872,NA,0.67519,NA,NA,NA,NA,0.54068,0.43659
2015-11-28,-4.2778,0.48019,NA,6.7218,NA,NA,NA,0.19516,0.33352,0.0815,NA,NA,NA,NA,-0.0037603,0.48782,NA,2.2145,NA,NA,NA,NA,NA,NA,0.86872,NA,0.67519,NA,NA,NA,NA,0.54068,0.43659
2015-11-29,-4.2778,0.48019,NA,6.7218,NA,NA,NA,0.19516,0.33352,0.0815,NA,NA,NA,NA,-0.0037603,0.48782,NA,2.2145,NA,NA,NA,NA,NA,NA,0.86872,NA,0.67519,NA,NA,NA,NA,0.54068,0.43659
2015-11-30,-4.2363,0.48019,NA,6.693,NA,NA,NA,0.19491,0.33307,0.080622,NA,NA,NA,NA,-0.0046454,0.69196,NA,2.2145,NA,NA,NA,NA,NA,NA,0.82737,NA,0.67638,NA,NA,NA,NA,0.54068,0.4004
2015-12-01,-5.3268,0.022391,NA,6.7474,NA,NA,NA,0.22537,0.35561,0.116,NA,NA,NA,NA,0.0079129,0.70801,NA,2.2425,NA,NA,NA,NA,NA,NA,0.82244,NA,0.7234,NA,NA,NA,NA,0.52036,0.38679
2015-12-02,-5.3268,0.022391,NA,6.7474,NA,NA,NA,0.22537,0.35561,0.116,NA,NA,NA,NA,0.0079129,0.70801,NA,2.2425,NA,NA,NA,NA,NA,NA,0.82244,NA,0.75221,NA,NA,NA,NA,0.50628,0.3814
2015-12-03,-5.3575,0.022391,NA,6.6939,NA,NA,NA,0.22315,0.35208,0.11054,NA,NA,NA,NA,0.0021889,0.70801,NA,2.2476,NA,NA,NA,NA,NA,NA,0.83523,NA,0.75938,NA,NA,NA,NA,0.51836,0.37718
2015-12-04,-5.3575,-0.054224,NA,6.6939,NA,NA,NA,0.23748,0.37142,0.22536,NA,NA,NA,NA,0.035706,0.72458,NA,2.2472,NA,NA,NA,NA,NA,NA,0.83523,NA,0.76058,NA,NA,NA,NA,0.51851,0.3422
2015-12-05,-5.3575,-0.054224,NA,6.6939,NA,NA,NA,0.23748,0.37142,0.22536,NA,NA,NA,NA,0.035706,0.72458,NA,2.2472,NA,NA,NA,NA,NA,NA,0.83523,NA,0.76058,NA,NA,NA,NA,0.51851,0.3422
2015-12-06,-5.3575,-0.054224,NA,6.6939,NA,NA,NA,0.23748,0.37142,0.22536,NA,NA,NA,NA,0.035706,0.72458,NA,2.2472,NA,NA,NA,NA,NA,NA,0.83523,NA,0.76058,NA,NA,NA,NA,0.51851,0.3422
2015-12-07,-5.3575,-0.054224,NA,6.6939,NA,NA,NA,0.25381,0.3696,0.29029,NA,NA,NA,NA,0.012203,0.72458,NA,2.2446,NA,NA,NA,NA,NA,NA,0.83523,NA,0.76058,NA,NA,NA,NA,0.51851,0.3422
2015-12-08,-5.3575,-0.037467,NA,6.7359,NA,NA,NA,0.25292,0.39313,0.2869,NA,NA,NA,NA,0.013292,0.79638,NA,2.2446,NA,NA,NA,NA,NA,NA,0.78911,NA,0.76058,NA,NA,NA,NA,0.52396,0.3422
2015-12-09,-5.3575,-0.037467,NA,6.7359,NA,NA,NA,0.24987,0.39136,0.27235,NA,NA,NA,NA,0.0089689,0.80325,NA,2.2446,NA,NA,NA,NA,NA,NA,0.78673,NA,0.76058,NA,NA,NA,NA,0.52396,0.3422
2015-12-10,-5.3611,-0.037467,NA,6.7359,NA,NA,NA,0.24172,0.37792,0.26542,NA,NA,NA,NA,0.0062348,0.80325,NA,2.2446,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.3422
2015-12-11,-5.3611,-0.037467,NA,6.7359,NA,NA,NA,0.25206,0.38664,0.27416,NA,NA,NA,NA,0.057251,0.80325,NA,2.2354,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.35463
2015-12-12,-5.3611,-0.037467,NA,6.7917,NA,NA,NA,0.25206,0.38664,0.27416,NA,NA,NA,NA,0.057251,0.80325,NA,2.2354,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.35463
2015-12-13,-5.3611,-0.037467,NA,6.7917,NA,NA,NA,0.25206,0.38664,0.27416,NA,NA,NA,NA,0.057251,0.80325,NA,2.2354,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.35463
2015-12-14,-5.3611,-0.029575,NA,6.7917,NA,NA,NA,0.28302,0.40082,0.28744,NA,NA,NA,NA,0.075239,0.80707,NA,2.2549,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.35463
2015-12-15,-5.3611,-0.052141,NA,6.7917,NA,NA,NA,0.29054,0.40594,0.29074,NA,NA,NA,NA,0.085206,0.80707,NA,2.2549,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.58173,0.35463
2015-12-16,-5.3615,-0.13229,NA,6.7917,NA,NA,NA,0.29389,0.40798,0.29166,NA,NA,NA,NA,0.086285,0.80707,NA,2.1922,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.57667,0.4544
2015-12-17,-5.3615,-0.13229,NA,6.7917,NA,NA,NA,0.31252,0.40555,0.29678,NA,NA,NA,NA,0.096756,0.70696,NA,2.1922,NA,NA,NA,NA,NA,NA,0.78737,NA,0.76058,NA,NA,NA,NA,0.61136,0.44726
2015-12-18,-5.4659,-0.13926,NA,6.7917,NA,NA,NA,0.3288,0.41225,0.30209,NA,NA,NA,NA,0.099636,0.70696,NA,2.195,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61136,0.43375
2015-12-19,-5.4659,-0.13926,NA,6.7917,NA,NA,NA,0.3288,0.41225,0.30209,NA,NA,NA,NA,0.099636,0.70696,NA,2.195,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61136,0.43375
2015-12-20,-5.4659,-0.13926,NA,6.7917,NA,NA,NA,0.3288,0.41225,0.30209,NA,NA,NA,NA,0.099636,0.70696,NA,2.195,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61136,0.43375
2015-12-21,-5.4659,-0.13926,NA,6.7917,NA,NA,NA,0.32724,0.41185,0.30079,NA,NA,NA,NA,0.099178,0.70696,NA,2.1969,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61128,0.43375
2015-12-22,-5.4659,-0.13926,NA,6.7917,NA,NA,NA,0.3224,0.39325,0.29648,NA,NA,NA,NA,0.093246,0.70038,NA,2.1969,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43375
2015-12-23,-5.4718,-0.2724,NA,6.7917,NA,NA,NA,0.34686,0.3827,0.31073,NA,NA,NA,NA,0.16811,0.70038,NA,2.1969,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-24,-5.4718,-0.2724,NA,6.7917,NA,NA,NA,0.35662,0.3809,0.32223,NA,NA,NA,NA,0.17086,0.70038,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-25,-5.4718,-0.2724,NA,6.7757,NA,NA,NA,0.35662,0.3809,0.32223,NA,NA,NA,NA,0.17086,0.6904,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-26,-5.4718,-0.2724,NA,6.7757,NA,NA,NA,0.35662,0.3809,0.32223,NA,NA,NA,NA,0.17086,0.6904,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-27,-5.4718,-0.2724,NA,6.7757,NA,NA,NA,0.35662,0.3809,0.32223,NA,NA,NA,NA,0.17086,0.6904,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-28,-5.5201,-0.2724,NA,6.7757,NA,NA,NA,0.35662,0.3809,0.32223,NA,NA,NA,NA,0.17086,0.4644,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.75968,NA,NA,NA,NA,0.61144,0.43159
2015-12-29,-5.5094,-0.2724,NA,6.7757,NA,NA,NA,0.35612,0.38046,0.32106,NA,NA,NA,NA,0.17016,0.4644,NA,1.9336,NA,NA,NA,NA,NA,NA,0.78737,NA,0.74949,NA,NA,NA,NA,0.61144,0.43265
2015-12-30,-5.5094,-0.2724,NA,6.7757,NA,NA,NA,0.35612,0.38046,0.32106,NA,NA,NA,NA,0.17016,0.4644,NA,1.9336,NA,NA,NA,NA,NA,NA,0.7886,NA,0.74949,NA,NA,NA,NA,0.61144,0.43265
2015-12-31,-5.5094,-0.2724,NA,6.7757,NA,NA,NA,0.35612,0.38046,0.32106,NA,NA,NA,NA,0.17016,0.4644,NA,1.9336,NA,NA,NA,NA,NA,NA,0.7886,NA,0.74949,NA,NA,NA,NA,0.61144,0.41904
2016-01-01,-4.6662,0.091713,NA,6.9944,NA,NA,NA,0.47155,0.52071,0.44939,NA,NA,NA,NA,0.28649,0.069774,NA,1.5626,NA,NA,NA,NA,NA,NA,1.1903,NA,0.85747,NA,NA,NA,NA,0.59899,0.29016
2016-01-02,-4.6662,0.091713,NA,6.9944,NA,NA,NA,0.47155,0.52071,0.44939,NA,NA,NA,NA,0.28649,0.069774,NA,1.5626,NA,NA,NA,NA,NA,NA,1.1903,NA,0.85747,NA,NA,NA,NA,0.59899,0.29016
2016-01-03,-4.6662,0.091713,NA,6.9944,NA,NA,NA,0.47155,0.52071,0.44939,NA,NA,NA,NA,0.28649,0.069774,NA,1.5626,NA,NA,NA,NA,NA,NA,1.1903,NA,0.85747,NA,NA,NA,NA,0.59899,0.29016
2016-01-04,-4.5009,0.054542,NA,6.9571,NA,NA,NA,0.52656,0.56666,0.51217,NA,NA,NA,NA,0.31517,0.097749,NA,1.4235,NA,NA,NA,NA,NA,NA,1.1903,NA,0.85932,NA,NA,NA,NA,0.57324,0.30614
2016-01-05,-4.5009,0.054542,NA,6.9571,NA,NA,NA,0.52693,0.56694,0.51211,NA,NA,NA,NA,0.31555,0.097749,NA,1.4235,NA,NA,NA,NA,NA,NA,1.1903,NA,0.81486,NA,NA,NA,NA,0.61799,0.30614
2016-01-06,-4.5009,0.096222,NA,6.8592,NA,NA,NA,0.54375,0.58503,0.53038,NA,NA,NA,NA,0.3257,0.097749,NA,1.4235,NA,NA,NA,NA,NA,NA,1.1903,NA,0.79382,NA,NA,NA,NA,0.60471,0.29223
2016-01-07,-4.6514,0.045156,NA,6.8592,NA,NA,NA,0.52288,0.57778,0.48309,NA,NA,NA,NA,0.3175,0.097749,NA,1.4235,NA,NA,NA,NA,NA,NA,1.1329,NA,0.89507,NA,NA,NA,NA,0.66178,0.29223
2016-01-08,-4.6514,0.12662,NA,6.8592,NA,NA,NA,0.54115,0.62051,0.51826,NA,NA,NA,NA,0.33118,0.096642,NA,1.4258,NA,NA,NA,NA,NA,NA,1.1329,NA,0.89507,NA,NA,NA,NA,0.61606,0.3048
2016-01-09,-4.6514,0.12662,NA,6.8592,NA,NA,NA,0.54115,0.62051,0.51826,NA,NA,NA,NA,0.33118,0.096642,NA,1.4258,NA,NA,NA,NA,NA,NA,1.1329,NA,0.89507,NA,NA,NA,NA,0.61606,0.3048
2016-01-10,-4.6514,0.12662,NA,6.8592,NA,NA,NA,0.54115,0.62051,0.51826,NA,NA,NA,NA,0.33118,0.096642,NA,1.4258,NA,NA,NA,NA,NA,NA,1.1329,NA,0.89507,NA,NA,NA,NA,0.61606,0.3048
2016-01-11,-4.6514,0.089977,NA,6.8592,NA,NA,NA,0.54115,0.62051,0.51826,NA,NA,NA,NA,0.33118,0.096642,NA,1.3754,NA,NA,NA,NA,NA,NA,1.1329,NA,0.89182,NA,NA,NA,NA,0.61606,0.3048
2016-01-12,-4.6514,0.089977,NA,6.8592,NA,NA,NA,0.55273,0.62271,0.53112,NA,NA,NA,NA,0.34189,0.18414,NA,1.3683,NA,NA,NA,NA,NA,NA,1.0366,NA,0.89182,NA,NA,NA,NA,0.60483,0.3048
2016-01-13,-4.585,0.089977,NA,6.9464,NA,NA,NA,0.5352,0.61425,0.52044,NA,NA,NA,NA,0.33157,0.18414,NA,1.3683,NA,NA,NA,NA,NA,NA,1.0366,NA,0.89182,NA,NA,NA,NA,0.60483,0.3048
2016-01-14,-4.585,0.089977,NA,6.9464,NA,NA,NA,0.53169,0.61141,0.51689,NA,NA,NA,NA,0.31647,0.17357,NA,1.3683,NA,NA,NA,NA,NA,NA,1.0682,NA,0.89182,NA,NA,NA,NA,0.60483,0.3048
2016-01-15,-4.7255,-0.0076886,NA,6.9464,NA,NA,NA,0.54454,0.61888,0.52534,NA,NA,NA,NA,0.32764,0.17357,NA,1.2123,NA,NA,NA,NA,NA,NA,1.0682,NA,0.89182,NA,NA,NA,NA,0.60483,0.23601
2016-01-16,-4.7255,-0.0076886,NA,6.9464,NA,NA,NA,0.54454,0.61888,0.52534,NA,NA,NA,NA,0.32764,0.17357,NA,1.2123,NA,NA,NA,NA,NA,NA,1.0682,NA,0.89182,NA,NA,NA,NA,0.60483,0.23601
2016-01-17,-4.7255,-0.0076886,NA,6.9464,NA,NA,NA,0.54454,0.61888,0.52534,NA,NA,NA,NA,0.32764,0.17357,NA,1.2123,NA,NA,NA,NA,NA,NA,1.0682,NA,0.89182,NA,NA,NA,NA,0.60483,0.23601
2016-01-18,-4.7255,0.0015128,NA,6.9464,NA,NA,NA,0.55069,0.62444,0.53246,NA,NA,NA,NA,0.37298,0.19786,NA,1.2123,NA,NA,NA,NA,NA,NA,1.0682,NA,0.88756,NA,NA,NA,NA,0.60483,0.23601
2016-01-19,-4.7255,0.0015128,NA,6.8221,NA,NA,NA,0.55929,0.62378,0.5333,NA,NA,NA,NA,0.39075,0.19786,NA,1.2123,NA,NA,NA,NA,NA,NA,1.0682,NA,0.88756,NA,NA,NA,NA,0.60483,0.23601
2016-01-20,-4.7255,0.12086,NA,6.8221,NA,NA,NA,0.55929,0.62378,0.5333,NA,NA,NA,NA,0.39075,0.19786,NA,1.2123,NA,NA,NA,NA,NA,NA,1.076,NA,0.88756,NA,NA,NA,NA,0.5922,0.29022
2016-01-21,-4.6549,0.12086,NA,6.8221,NA,NA,NA,0.55603,0.62407,0.53471,NA,NA,NA,NA,0.39575,0.19786,NA,1.2042,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.5922,0.30419
2016-01-22,-4.6549,0.1424,NA,6.8221,NA,NA,NA,0.47525,0.54474,0.43709,NA,NA,NA,NA,0.29147,0.19786,NA,1.2042,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.56941,0.32881
2016-01-23,-4.6549,0.1424,NA,6.8221,NA,NA,NA,0.47525,0.54474,0.43709,NA,NA,NA,NA,0.29147,0.19786,NA,1.2042,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.56941,0.32881
2016-01-24,-4.6549,0.1424,NA,6.8221,NA,NA,NA,0.47525,0.54474,0.43709,NA,NA,NA,NA,0.29147,0.19786,NA,1.2042,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.56941,0.32881
2016-01-25,-4.6549,0.1424,NA,6.8221,NA,NA,NA,0.48716,0.54629,0.4679,NA,NA,NA,NA,0.31022,-0.022118,NA,1.2042,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.53933,0.32881
2016-01-26,-4.6549,0.1424,NA,6.8221,NA,NA,NA,0.48716,0.54629,0.4679,NA,NA,NA,NA,0.31022,-0.022118,NA,1.2761,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.53933,0.33107
2016-01-27,-4.6409,0.1424,NA,6.8221,NA,NA,NA,0.46687,0.54429,0.45301,NA,NA,NA,NA,0.30266,-0.087919,NA,1.0488,NA,NA,NA,NA,NA,NA,1.076,NA,0.88475,NA,NA,NA,NA,0.53933,0.33107
2016-01-28,-4.6409,0.1424,NA,6.8221,NA,NA,NA,0.46619,0.53917,0.45081,NA,NA,NA,NA,0.30108,-0.26412,NA,1.0488,NA,NA,NA,NA,NA,NA,1.076,NA,0.79743,NA,NA,NA,NA,0.50773,0.24402
2016-01-29,-4.665,0.20132,NA,6.8221,NA,NA,NA,0.44975,0.51375,0.44222,NA,NA,NA,NA,0.29603,-0.26046,NA,1.0488,NA,NA,NA,NA,NA,NA,1.1524,NA,0.83711,NA,NA,NA,NA,0.50973,0.29474
2016-01-30,-4.665,0.20132,NA,6.8221,NA,NA,NA,0.44975,0.51375,0.44222,NA,NA,NA,NA,0.29603,-0.26046,NA,1.0488,NA,NA,NA,NA,NA,NA,1.1524,NA,0.83711,NA,NA,NA,NA,0.50973,0.29474
2016-01-31,-4.665,0.20132,NA,6.8221,NA,NA,NA,0.44975,0.51375,0.44222,NA,NA,NA,NA,0.29603,-0.26046,NA,1.0488,NA,NA,NA,NA,NA,NA,1.1524,NA,0.83711,NA,NA,NA,NA,0.50973,0.29474
2016-02-01,-5.0318,0.14609,NA,6.8101,NA,NA,NA,0.38981,0.46449,0.38016,NA,NA,NA,NA,0.30807,-0.058275,NA,1.2593,NA,NA,NA,NA,NA,NA,0.42877,NA,1.0402,NA,NA,NA,NA,0.56722,0.33073
2016-02-02,-5.0827,0.14609,NA,6.8101,NA,NA,NA,0.39323,0.46662,0.37733,NA,NA,NA,NA,0.31066,-0.058275,NA,1.2582,NA,NA,NA,NA,NA,NA,0.42877,NA,1.0653,NA,NA,NA,NA,0.53958,0.33073
2016-02-03,-5.0827,0.14609,NA,6.9383,NA,NA,NA,0.38764,0.46449,0.37681,NA,NA,NA,NA,0.31038,-0.051746,NA,1.2582,NA,NA,NA,NA,NA,NA,0.42877,NA,1.0542,NA,NA,NA,NA,0.54081,0.31653
2016-02-04,-5.0827,0.14609,NA,6.9383,NA,NA,NA,0.38764,0.46449,0.37681,NA,NA,NA,NA,0.31038,-0.051746,NA,1.2583,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0542,NA,NA,NA,NA,0.5421,0.31653
2016-02-05,-5.0827,0.23014,NA,6.9383,NA,NA,NA,0.3729,0.42696,0.3747,NA,NA,NA,NA,0.29393,-0.051746,NA,1.2657,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0542,NA,NA,NA,NA,0.5421,0.31449
2016-02-06,-5.0827,0.23014,NA,6.9383,NA,NA,NA,0.3729,0.42696,0.3747,NA,NA,NA,NA,0.29393,-0.051746,NA,1.2657,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0542,NA,NA,NA,NA,0.5421,0.31449
2016-02-07,-5.0827,0.23014,NA,6.9383,NA,NA,NA,0.3729,0.42696,0.3747,NA,NA,NA,NA,0.29393,-0.051746,NA,1.2657,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0542,NA,NA,NA,NA,0.5421,0.31449
2016-02-08,-5.0827,0.23471,NA,6.9383,NA,NA,NA,0.40247,0.4322,0.40618,NA,NA,NA,NA,0.31938,-0.13652,NA,1.2709,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0522,NA,NA,NA,NA,0.5421,0.31449
2016-02-09,-5.0827,0.23471,NA,6.9383,NA,NA,NA,0.39066,0.42302,0.32216,NA,NA,NA,NA,0.30041,-0.13652,NA,1.2709,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0522,NA,NA,NA,NA,0.47493,0.31449
2016-02-10,-5.0827,0.23471,NA,6.9383,NA,NA,NA,0.36322,0.39201,0.30093,NA,NA,NA,NA,0.24311,-0.13652,NA,1.2709,NA,NA,NA,NA,NA,NA,0.47818,NA,1.0522,NA,NA,NA,NA,0.45576,0.31449
2016-02-11,-5.0827,0.23471,NA,6.9383,NA,NA,NA,0.36322,0.39201,0.30093,NA,NA,NA,NA,0.24311,-0.13652,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48602,NA,1.0522,NA,NA,NA,NA,0.45844,0.31449
2016-02-12,-5.0827,0.22412,NA,6.9383,NA,NA,NA,0.2797,0.36724,0.26931,NA,NA,NA,NA,0.19847,-0.13652,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48602,NA,1.0522,NA,NA,NA,NA,0.45844,0.31497
2016-02-13,-5.0827,0.22412,NA,6.9383,NA,NA,NA,0.2797,0.36724,0.26931,NA,NA,NA,NA,0.19847,-0.13652,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48602,NA,1.0522,NA,NA,NA,NA,0.45844,0.31497
2016-02-14,-5.0827,0.22412,NA,6.9383,NA,NA,NA,0.2797,0.36724,0.26931,NA,NA,NA,NA,0.19847,-0.13249,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48602,NA,1.0522,NA,NA,NA,NA,0.45844,0.31497
2016-02-15,-5.0827,0.22412,NA,6.7178,NA,NA,NA,0.27717,0.36672,0.26865,NA,NA,NA,NA,0.19785,-0.077699,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48602,NA,1.0522,NA,NA,NA,NA,0.45844,0.31497
2016-02-16,-5.1378,0.2988,NA,6.7178,NA,NA,NA,0.26546,0.35711,0.25781,NA,NA,NA,NA,0.13231,-0.077699,NA,1.2731,NA,NA,NA,NA,NA,NA,0.48965,NA,1.0522,NA,NA,NA,NA,0.45844,0.31497
2016-02-17,-5.1378,0.5273,NA,6.7178,NA,NA,NA,0.26989,0.35646,0.26005,NA,NA,NA,NA,0.13342,-0.078469,NA,1.4563,NA,NA,NA,NA,NA,NA,0.48302,NA,1.0522,NA,NA,NA,NA,0.4728,0.3892
2016-02-18,-5.2088,0.56397,NA,6.7178,NA,NA,NA,0.27004,0.35581,0.26071,NA,NA,NA,NA,0.14463,-0.15487,NA,1.4563,NA,NA,NA,NA,NA,NA,0.48302,NA,1.0505,NA,NA,NA,NA,0.4728,0.38352
2016-02-19,-5.2088,0.53705,NA,6.7178,NA,NA,NA,0.24202,0.34743,0.23264,NA,NA,NA,NA,0.1339,-0.15487,NA,1.4633,NA,NA,NA,NA,NA,NA,0.48302,NA,1.0505,NA,NA,NA,NA,0.49279,0.38352
2016-02-20,-5.2088,0.53705,NA,6.7178,NA,NA,NA,0.24202,0.34743,0.23264,NA,NA,NA,NA,0.1339,-0.15487,NA,1.4633,NA,NA,NA,NA,NA,NA,0.48302,NA,1.0505,NA,NA,NA,NA,0.49279,0.38352
